material_description,vendor,material_price,link,dow,location,zip,region,date,raw_material,steel_price,copper_price,target_price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),wilmar,2.1,https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,Thursday,"28 Biopolis Road. Singapore, 138568",other,other,2022-11-03,steel,1519.22,7509.5,low price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,Thursday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-03,steel,1519.22,7509.5,low price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),lowes,5.99,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,Thursday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-11-03,steel,1519.22,7509.5,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),amazon,8.41,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,Tuesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-01,steel,1566.0,7742.35,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,Tuesday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-01,steel,1566.0,7742.35,low price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),lowes,5.99,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,Tuesday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-11-01,steel,1566.0,7742.35,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,Monday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-24,steel,1545.64,7540.0,low price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),amazon,5.99,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,Monday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-24,steel,1545.64,7540.0,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),wilmar,2.29,https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,Monday,"28 Biopolis Road. Singapore, 138568",other,other,2022-10-24,steel,1545.64,7540.0,low price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),lowes,5.99,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,Monday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-10-24,steel,1545.64,7540.0,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),amazon,8.54,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,Monday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-07,steel,1600.95,7953.85,high price
