material_description,vendor,material_price,link,dow,location,zip,region,date,raw_material,steel_price,copper_price,target_price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,379.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-28,copper,1515.46,7619.25,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,379.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-28,copper,1515.46,7619.25,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Friday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-28,copper,1515.46,7619.25,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Friday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-28,copper,1515.46,7619.25,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Wednesday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-02,copper,1491.44,7702.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Wednesday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-02,copper,1491.44,7702.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Wednesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-02,copper,1491.44,7702.5,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Wednesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-02,copper,1491.44,7702.5,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,511.7,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Wednesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-09,copper,1583.59,8033.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,511.7,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Wednesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-09,copper,1583.59,8033.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,dkhardware,506.37,https://www.dkhardware.com/southwire-500-ft-6-black-stranded-cu-simpull-thhn-wire-20493301-product-3146605.html,Wednesday,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",33009,southeast,2022-11-09,copper,1583.59,8033.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,dkhardware,506.37,https://www.dkhardware.com/southwire-500-ft-6-black-stranded-cu-simpull-thhn-wire-20493301-product-3146605.html,Wednesday,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",33009,southeast,2022-11-09,copper,1583.59,8033.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Wednesday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-09,copper,1583.59,8033.85,about average
