material_description,vendor,material_price,link,dow,location,zip,region,date,raw_material,steel_price,copper_price,target_price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/itm/363478081520,Thursday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-10,copper,1630.76,8062.5,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,landmsupply,84.99,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,Thursday,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",55744,northplaines,2022-11-10,copper,1630.76,8062.5,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,homedepot,118.0,https://www.homedepot.com/p/Southwire-250-ft-14-2-Romex-SIMpull-Solid-NM-B-W-G-Wire-28827469/202019377,Thursday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-10,copper,1630.76,8062.5,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,114.0,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,Saturday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-22,copper,1545.64,7540.0,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,com/p/solid-romex-simpull-cu-nm-b-wire-032886163005,87.99,https://celebrationhardware.com/p/solid-romex-simpull-cu-nm-b-wire-032886163005,Saturday,online,other,other,2022-10-22,copper,1545.64,7540.0,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,128.62,https://www.ebay.com/itm/203933588941,Saturday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-22,copper,1545.64,7540.0,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,landmsupply,84.99,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,Thursday,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",55744,northplaines,2022-11-03,copper,1519.22,7509.5,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/itm/363478081520,Thursday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-03,copper,1519.22,7509.5,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,homedepot,118.0,https://www.homedepot.com/p/Southwire-250-ft-14-2-Romex-SIMpull-Solid-NM-B-W-G-Wire-28827469/202019377,Thursday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-03,copper,1519.22,7509.5,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,lowes,118.0,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,Thursday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-11-03,copper,1519.22,7509.5,high price
