material_description,vendor,material_price,link,dow,location,zip,region,date,raw_material,steel_price,copper_price,target_price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Saturday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-05,copper,1600.95,7953.85,about average
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,lowes,5.99,https://www.lowes.com/pd/Common-1-2-in-Actual-50-In-Metallic-Emt-10-ft-Conduit/3129551,Saturday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-11-05,steel,1600.95,7953.85,about average
500 ft. 10 Gauge Black Stranded Copper THHN Wire,wireandcableyourway,165.0,https://www.wireandcableyourway.com/10-awg-thhn-stranded-wire-500ft-1000ft-or-2500ft-spool,Saturday,"1431 7th St Ste 204. Santa Monica, California, 90401",90401,west,2022-11-05,copper,1600.95,7953.85,high price
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,149.0,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,Saturday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-05,copper,1600.95,7953.85,high price
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),supplyworks,3.66,https://www.supplyworks.com/Sku/202328185/halex-34-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232221-23222,Saturday,"6260 Abbott Dr. Omaha, Nebraska, 68110",68110,central,2022-11-05,steel,1600.95,7953.85,high price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,279.0,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,Saturday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-05,copper,1600.95,7953.85,low price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),ebay,9.99,https://www.ebay.com/itm/203256309046,Saturday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-05,steel,1600.95,7953.85,high price
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),pinterest,2.98,https://www.pinterest.com/pin/230668812499210604/,Saturday,"651 Brannan St. San Francisco, CA, 94107",94107,west,2022-11-05,steel,1600.95,7953.85,low price
500 ft. 4 Gauge Black Stranded Copper THHN Wire,ebay,1047.78,https://www.ebay.com/p/17040228268,Saturday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-05,copper,1600.95,7953.85,high price
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,homedepot,1.15,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,Saturday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-05,steel,1600.95,7953.85,high price
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),homedepot,2.98,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,Saturday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-05,steel,1600.95,7953.85,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,20.62,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,Saturday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-05,steel,1600.95,7953.85,high price
