link_id,link,material_description,material_price,product_id,vendor_location,formatted_datetime
20,https://www.pinterest.com/pin/230668812499210604/,3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,202288508,pinterest,10/31/2022 08:51:30
21,https://www.homedepot.com/p/Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257/202316335,500 ft. 10 Gauge Black Stranded Copper THHN Wire,145.0,202304645,homedepot,10/31/2022 08:51:30
22,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,202304645,amazon,10/31/2022 08:51:30
23,https://www.wireandcableyourway.com/10-awg-thhn-stranded-wire-500ft-1000ft-or-2500ft-spool,500 ft. 10 Gauge Black Stranded Copper THHN Wire,165.0,202304645,wireandcableyourway,10/31/2022 08:51:30
24,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,202019377,amazon,10/31/2022 08:51:30
25,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118.0,202019377,lowes,10/31/2022 08:51:30
26,https://www.ebay.com/itm/363478081520,250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.07,202019377,ebay,10/31/2022 08:51:30
27,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,202019377,landmsupply,10/31/2022 08:51:30
28,https://www.socalelectric.com/products/250-ft-14-2-romex-simpull-solid-nm-b-w-g-wire,250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117.0,202019377,socalelectric,10/31/2022 08:51:30
29,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159.0,202316275,homedepot,10/31/2022 08:51:30
30,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-3-Non-Metallic-Wire-By-the-Roll/3129317,250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159.0,202316275,lowes,10/31/2022 08:51:30
31,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,202019375,homedepot,10/31/2022 08:51:30
32,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-2-Non-Metallic-Wire-By-the-Roll/1193433,250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,202019375,lowes,10/31/2022 08:51:30
33,https://www.dkhardware.com/southwire-250-ft-12-2-solid-romex-simpull-cu-nm-b-w-g-wire-28828255-product-3154834.html,250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,200.02,202019375,dkhardware,10/31/2022 08:51:30
34,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289.0,202316276,homedepot,10/31/2022 08:51:30
35,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-3-Non-Metallic-Wire-By-the-Roll/3136775,250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289.0,202316276,lowes,10/31/2022 08:51:30
