material_description,material_price,vendor,location,dow,zip,region,date,raw_material,steel_price,copper_price,target_price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Friday,28117,east,2022-10-21,copper,1580.45,7543.0,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,113.98,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Friday,95125,west,2022-10-21,copper,1580.45,7543.0,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117.0,socalelectric,"5512 West Pico Blvd. Los Angeles, CA, 90019",Friday,90019,west,2022-10-21,copper,1580.45,7543.0,about average
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,158.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Friday,30339,southeast,2022-10-21,copper,1580.45,7543.0,low price
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,158.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Friday,28117,east,2022-10-21,copper,1580.45,7543.0,low price
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Friday,30339,southeast,2022-10-21,copper,1580.45,7543.0,high price
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Friday,28117,east,2022-10-21,copper,1580.45,7543.0,high price
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,200.02,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",Friday,33009,southeast,2022-10-21,copper,1580.45,7543.0,high price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Friday,30339,southeast,2022-10-21,copper,1580.45,7543.0,low price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,279.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Friday,28117,east,2022-10-21,copper,1580.45,7543.0,low price
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,339.09,qcsupply,"574 Road 11. Schuyler, Nebraska, 68661",Friday,68661,central,2022-10-21,copper,1580.45,7543.0,high price
500 ft. 4 Gauge Black Stranded Copper THHN Wire,765.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Friday,30339,southeast,2022-10-21,copper,1580.45,7543.0,high price
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,"410 Terry Ave N. Seattle, WA, 98109",Friday,98109,west,2022-10-21,copper,1580.45,7543.0,low price
500 ft. 4 Gauge Black Stranded Copper THHN Wire,1047.78,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Friday,95125,west,2022-10-21,copper,1580.45,7543.0,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Friday,95125,west,2022-10-21,copper,1580.45,7543.0,about average
500 ft. 10 Gauge Black Stranded Copper THHN Wire,156.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Friday,30339,southeast,2022-10-21,copper,1580.45,7543.0,about average
500 ft. 10 Gauge Black Stranded Copper THHN Wire,171.49,amazon,"410 Terry Ave N. Seattle, WA, 98109",Friday,98109,west,2022-10-21,copper,1580.45,7543.0,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,398.95,cooper-electric,"1 Matrix Drive. Monroe, NJ, 08831",Friday,08831,northeast,2022-10-21,copper,1580.45,7543.0,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,165.0,wireandcableyourway,"1431 7th St Ste 204. Santa Monica, California, 90401",Friday,90401,west,2022-10-21,copper,1580.45,7543.0,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.22,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Saturday,30339,southeast,2022-10-22,steel,1545.64,7540.0,high price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Saturday,28117,east,2022-10-22,steel,1545.64,7540.0,about average
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.73,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Saturday,60901,central,2022-10-22,steel,1545.64,7540.0,low price
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",Saturday,68110,central,2022-10-22,steel,1545.64,7540.0,low price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Saturday,30339,southeast,2022-10-22,steel,1545.64,7540.0,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",Saturday,32219,southeast,2022-10-22,steel,1545.64,7540.0,about average
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.36,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Saturday,60901,central,2022-10-22,steel,1545.64,7540.0,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,linemen-tools,"5941 1st Avenue Eastman, GA, 31023",Saturday,31023,southeast,2022-10-22,steel,1545.64,7540.0,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,33.34,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",Saturday,33009,southeast,2022-10-22,steel,1545.64,7540.0,high price
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Saturday,30339,southeast,2022-10-22,steel,1545.64,7540.0,low price
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",Saturday,98109,west,2022-10-22,steel,1545.64,7540.0,high price
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.1,wilmar,"28 Biopolis Road. Singapore, 138568",Saturday,other,other,2022-10-22,steel,1545.64,7540.0,low price
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,pinterest,"651 Brannan St. San Francisco, CA, 94107",Saturday,94107,west,2022-10-22,steel,1545.64,7540.0,low price
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Saturday,30339,southeast,2022-10-22,steel,1545.64,7540.0,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Saturday,30339,southeast,2022-10-22,steel,1545.64,7540.0,low price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",Saturday,98109,west,2022-10-22,steel,1545.64,7540.0,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Saturday,28117,east,2022-10-22,steel,1545.64,7540.0,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),2.29,wilmar,"28 Biopolis Road. Singapore, 138568",Saturday,other,other,2022-10-22,steel,1545.64,7540.0,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",Saturday,98109,west,2022-10-22,copper,1545.64,7540.0,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,128.62,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Saturday,95125,west,2022-10-22,copper,1545.64,7540.0,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,87.99,com/p/solid-romex-simpull-cu-nm-b-wire-032886163005,online,Saturday,other,other,2022-10-22,copper,1545.64,7540.0,low price
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,158.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Saturday,30339,southeast,2022-10-22,copper,1545.64,7540.0,low price
