Material Description,Material Price,Vendor,Location,Formatted Datetime,Days of the Week
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/27/2022 14:34:51,Thursday
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/27/2022 14:34:51,Thursday
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/27/2022 14:34:51,Thursday
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.69,com/p/halex-screw-emt-conduit-connector-051411262723,online,10/27/2022 14:34:51,Thursday
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/27/2022 14:34:51,Thursday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/27/2022 14:34:51,Thursday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.07,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/27/2022 14:34:51,Thursday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,landmsupply,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",10/27/2022 14:34:51,Thursday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117,socalelectric,"5512 West Pico Blvd. Los Angeles, CA, 90019",10/27/2022 14:34:51,Thursday
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/27/2022 14:34:51,Thursday
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/27/2022 14:34:51,Thursday
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/27/2022 14:34:51,Thursday
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,200.02,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",10/27/2022 14:34:51,Thursday
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/27/2022 14:34:51,Thursday
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/27/2022 14:34:51,Thursday
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,315.01,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/27/2022 14:34:51,Thursday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/27/2022 14:34:51,Thursday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,1047.78,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/27/2022 14:34:51,Thursday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,379,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/27/2022 14:34:51,Thursday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,470.43,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/27/2022 14:34:51,Thursday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/27/2022 14:34:51,Thursday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,1144.69,cooper-electric,"1 Matrix Drive. Monroe, NJ, 08831",10/27/2022 14:34:51,Thursday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,145,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/27/2022 14:34:51,Thursday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/27/2022 14:34:51,Thursday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,165,wireandcableyourway,"1431 7th St Ste 204. Santa Monica, California, 90401",10/27/2022 14:34:51,Thursday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.22,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/28/2022 13:28:58,Friday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/28/2022 13:28:58,Friday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.59,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",10/28/2022 13:28:58,Friday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",10/28/2022 13:28:58,Friday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.24,menards,"4777 Menard Drive. Eau Claire, Wisconsin, 54703",10/28/2022 13:28:58,Friday
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/28/2022 13:28:58,Friday
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",10/28/2022 13:28:58,Friday
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.12,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",10/28/2022 13:28:58,Friday
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/28/2022 13:28:58,Friday
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",10/28/2022 13:28:58,Friday
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,linemen-tools,"5941 1st Avenue Eastman, GA, 31023",10/28/2022 13:28:58,Friday
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,33.34,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",10/28/2022 13:28:58,Friday
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/28/2022 13:28:58,Friday
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/28/2022 13:28:58,Friday
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.29,wilmar,"28 Biopolis Road. Singapore, 138568",10/28/2022 13:28:58,Friday
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/28/2022 13:28:58,Friday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/28/2022 13:28:58,Friday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.66,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",10/28/2022 13:28:58,Friday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/28/2022 13:28:58,Friday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,pinterest,"651 Brannan St. San Francisco, CA, 94107",10/28/2022 13:28:58,Friday
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/28/2022 13:28:58,Friday
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.29,rona,"220 ch du Tremblay Boucherville. QC, J4B 8H7, Canada",10/28/2022 13:28:58,Friday
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/28/2022 13:28:58,Friday
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),8.41,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/28/2022 13:28:58,Friday
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/28/2022 13:28:58,Friday
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/28/2022 13:28:58,Friday
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.69,com/p/halex-screw-emt-conduit-connector-051411262723,online,10/28/2022 13:28:58,Friday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/28/2022 13:28:58,Friday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.07,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/28/2022 13:28:58,Friday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117,socalelectric,"5512 West Pico Blvd. Los Angeles, CA, 90019",10/28/2022 13:28:58,Friday
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/28/2022 13:28:58,Friday
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/28/2022 13:28:58,Friday
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,161.21,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/28/2022 13:28:58,Friday
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/28/2022 13:28:58,Friday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/28/2022 13:28:58,Friday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,1047.78,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/28/2022 13:28:58,Friday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,379,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/28/2022 13:28:58,Friday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,470.43,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/28/2022 13:28:58,Friday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/28/2022 13:28:58,Friday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,145,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/28/2022 13:28:58,Friday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/28/2022 13:28:58,Friday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,165,wireandcableyourway,"1431 7th St Ste 204. Santa Monica, California, 90401",10/28/2022 13:28:58,Friday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.22,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/29/2022 10:24:34,Saturday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/29/2022 10:24:34,Saturday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.59,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",10/29/2022 10:24:34,Saturday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",10/29/2022 10:24:34,Saturday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.24,menards,"4777 Menard Drive. Eau Claire, Wisconsin, 54703",10/29/2022 10:24:34,Saturday
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.12,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",10/29/2022 10:24:34,Saturday
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/29/2022 10:24:34,Saturday
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",10/29/2022 10:24:34,Saturday
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,linemen-tools,"5941 1st Avenue Eastman, GA, 31023",10/29/2022 10:24:34,Saturday
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,33.34,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",10/29/2022 10:24:34,Saturday
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/29/2022 10:24:34,Saturday
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/29/2022 10:24:34,Saturday
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.29,wilmar,"28 Biopolis Road. Singapore, 138568",10/29/2022 10:24:34,Saturday
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/29/2022 10:24:34,Saturday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/29/2022 10:24:34,Saturday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.66,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",10/29/2022 10:24:34,Saturday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.66,wilmar,"28 Biopolis Road. Singapore, 138568",10/29/2022 10:24:34,Saturday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/29/2022 10:24:34,Saturday
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/29/2022 10:24:34,Saturday
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/29/2022 10:24:34,Saturday
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/29/2022 10:24:34,Saturday
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/29/2022 10:24:34,Saturday
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/29/2022 10:24:34,Saturday
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/29/2022 10:24:34,Saturday
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.69,com/p/halex-screw-emt-conduit-connector-051411262723,online,10/29/2022 10:24:34,Saturday
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/29/2022 10:24:34,Saturday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/29/2022 10:24:34,Saturday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.07,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/29/2022 10:24:34,Saturday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,landmsupply,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",10/29/2022 10:24:34,Saturday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117,socalelectric,"5512 West Pico Blvd. Los Angeles, CA, 90019",10/29/2022 10:24:34,Saturday
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/29/2022 10:24:34,Saturday
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/29/2022 10:24:34,Saturday
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/29/2022 10:24:34,Saturday
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,200.02,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",10/29/2022 10:24:34,Saturday
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/29/2022 10:24:34,Saturday
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/29/2022 10:24:34,Saturday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/29/2022 10:24:34,Saturday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,1047.78,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/29/2022 10:24:34,Saturday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,470.43,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/29/2022 10:24:34,Saturday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/29/2022 10:24:34,Saturday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/29/2022 10:24:34,Saturday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.22,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/30/2022 15:30:27,Sunday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.59,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",10/30/2022 15:30:27,Sunday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",10/30/2022 15:30:27,Sunday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.24,menards,"4777 Menard Drive. Eau Claire, Wisconsin, 54703",10/30/2022 15:30:27,Sunday
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",10/30/2022 15:30:27,Sunday
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.12,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",10/30/2022 15:30:27,Sunday
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",10/30/2022 15:30:27,Sunday
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,linemen-tools,"5941 1st Avenue Eastman, GA, 31023",10/30/2022 15:30:27,Sunday
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,33.34,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",10/30/2022 15:30:27,Sunday
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/30/2022 15:30:27,Sunday
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.1,wilmar,"28 Biopolis Road. Singapore, 138568",10/30/2022 15:30:27,Sunday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.66,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",10/30/2022 15:30:27,Sunday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/30/2022 15:30:27,Sunday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,pinterest,"651 Brannan St. San Francisco, CA, 94107",10/30/2022 15:30:27,Sunday
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/30/2022 15:30:27,Sunday
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/30/2022 15:30:27,Sunday
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/30/2022 15:30:27,Sunday
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.69,com/p/halex-screw-emt-conduit-connector-051411262723,online,10/30/2022 15:30:27,Sunday
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.99,com/p/steel-city-emt-conduit-connector-785991183801,online,10/30/2022 15:30:27,Sunday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/30/2022 15:30:27,Sunday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/30/2022 15:30:27,Sunday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.07,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/30/2022 15:30:27,Sunday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,landmsupply,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",10/30/2022 15:30:27,Sunday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117,socalelectric,"5512 West Pico Blvd. Los Angeles, CA, 90019",10/30/2022 15:30:27,Sunday
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/30/2022 15:30:27,Sunday
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/30/2022 15:30:27,Sunday
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,200.02,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",10/30/2022 15:30:27,Sunday
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,279,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/30/2022 15:30:27,Sunday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,765,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/30/2022 15:30:27,Sunday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,1047.78,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/30/2022 15:30:27,Sunday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,409,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,470.43,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/30/2022 15:30:27,Sunday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/30/2022 15:30:27,Sunday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,145,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/30/2022 15:30:27,Sunday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/30/2022 15:30:27,Sunday
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.59,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",10/31/2022 08:50:13,Monday
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/31/2022 08:50:13,Monday
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",10/31/2022 08:50:13,Monday
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.12,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",10/31/2022 08:50:13,Monday
