Material Description,Material Price,Vendor,Location,Formatted Datetime,Days of the Week
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/21/2022 15:55,Friday
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.1,wilmar,"28 Biopolis Road. Singapore, 138568",10/21/2022 15:55,Friday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/21/2022 15:55,Friday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.66,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110",10/21/2022 15:55,Friday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.48,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/21/2022 15:55,Friday
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,pinterest,"651 Brannan St. San Francisco, CA, 94107",10/21/2022 15:55,Friday
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/21/2022 15:55,Friday
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/21/2022 15:55,Friday
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/21/2022 15:55,Friday
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/21/2022 15:55,Friday
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/21/2022 15:55,Friday
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.99,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/21/2022 15:55,Friday
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/21/2022 15:55,Friday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/21/2022 15:55,Friday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/21/2022 15:55,Friday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,113.98,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/21/2022 15:55,Friday
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117,socalelectric,"5512 West Pico Blvd. Los Angeles, CA, 90019",10/21/2022 15:55,Friday
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,158,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/21/2022 15:55,Friday
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,158,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/21/2022 15:55,Friday
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/21/2022 15:55,Friday
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/21/2022 15:55,Friday
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,200.02,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",10/21/2022 15:55,Friday
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/21/2022 15:55,Friday
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,279,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/21/2022 15:55,Friday
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,339.09,qcsupply,"574 Road 11. Schuyler, Nebraska, 68661",10/21/2022 15:55,Friday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,765,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/21/2022 15:55,Friday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/21/2022 15:55,Friday
500 ft. 4 Gauge Black Stranded Copper THHN Wire,1047.78,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/21/2022 15:55,Friday
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/21/2022 15:55,Friday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,156,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/21/2022 15:55,Friday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,171.49,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/21/2022 15:55,Friday
500 ft. 10 Gauge Black Stranded Copper THHN Wire,398.95,cooper-electric,"1 Matrix Drive. Monroe, NJ, 08831",10/21/2022 15:55,Friday
