material_description,vendor,material_price,link,formatted_datetime,dow,vendor_id,location,product_id
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,homedepot,1.6,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,11/11/2022,Friday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202288508
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,159,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,10/29/2022,Saturday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202304649
500 ft. 4 Gauge Black Stranded Copper THHN Wire,amazon,613.64,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,10/24/2022,Monday,6,"410 Terry Ave N. Seattle, WA, 98109",202316275
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,ebarnett,10.47,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,11/10/2022,Thursday,4,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",100400406
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,linemen-tools,8.9,https://www.linemen-tools.com/Electrical_Materials_Tubing_EMT_Conduit_1_x_10_p/wal-emt100.htm,10/20/2022,Thursday,14,"5941 1st Avenue Eastman, GA, 31023",100137321
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,gordonelectricsupply,4.86,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,11/2/2022,Wednesday,2,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",100400409
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),wilmar,2.1,https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,11/1/2022,Tuesday,19,"28 Biopolis Road. Singapore, 138568",100400405
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),homedepot,4.6,https://www.homedepot.com/p/Halex-3-4-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26272/100163157,10/29/2022,Saturday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202077147
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,11/4/2022,Friday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,11/4/2022,Friday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202019375
